Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Card Id,Product Category Id,Product Name,Product Price,shipping date (DateOrders),Shipping Mode,high_lead_time,late_delivery,low_profit,high_discount,delivery_delayed,order_cancelled,lat_bin,lon_bin,location,risk_score,Risk_level,supplier_risk_avg,region_risk_density,location_enc,Order Status_enc,Delivery Status_enc,Shipping Mode_enc,risk_encoded,Predicted_Risk,Order_Date
TRANSFER,6,4,33.08000183,189.0,Late delivery,1,24,Women's Apparel,Tallahassee,EE. UU.,John,12280,Smith,173349,Consumer,FL,1550 Rustic Grove Farms,32308,5,Golf,30.49506187,-84.24580383,Europe,Toulouse,Francia,12280,8/20/2017 22:07,65965.0,502.0,11.0,0.059999999,164857.0,50.0,0.180000007,4.0,200.0,189.0,33.08000183,Western Europe,Languedoc-Rosellón-Mediodía-Pirineos,PROCESSING,502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0,8/26/2017 22:07,Standard Class,1,1,0,0,0,0,30.5,-84.2,EE. UU.,0.5573979144300281,Medium,0.5573979144300281,0.35175171341361916,0,7,1,3,1,High,2017-08-20 22:07:00
PAYMENT,4,4,16.18000031,107.8899994,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Gerald,4521,Smith,81514,Home Office,PR,7694 Velvet Turnabout,725,4,Apparel,18.21322632,-66.37057495,Europe,Tivoli,Italia,4521,9/22/2017 14:11,68203.0,403.0,22.10000038,0.170000002,170523.0,129.9900055,0.150000006,1.0,129.9900055,107.8899994,16.18000031,Southern Europe,Lacio,PENDING_PAYMENT,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,9/26/2017 14:11,Standard Class,0,0,0,0,0,0,18.2,-66.4,Puerto Rico,0.25027330973302275,Low,0.25027330973302275,0.4874795469539309,1,6,3,3,0,Medium,2017-09-22 14:11:00
TRANSFER,2,2,1.450000048,16.5,Shipping canceled,0,7,Hockey,Lancaster,EE. UU.,Mary,11388,Rangel,113878,Consumer,CA,2395 Misty Carrefour,93535,2,Fitness,34.69703293,-118.0883026,Pacific Asia,Manukau City,Nueva Zelanda,11388,4/1/2016 0:45,31241.0,135.0,5.5,0.25,78082.0,22.0,0.090000004,1.0,22.0,16.5,1.450000048,Oceania,Auckland,CANCELED,135.0,7.0,Nike Dri-FIT Crew Sock 6 Pack,22.0,4/3/2016 0:45,Second Class,0,0,1,0,0,1,34.7,-118.1,EE. UU.,0.32646775537916195,Low,0.32646775537916195,0.35175171341361916,0,0,2,2,0,Medium,2016-04-01 00:45:00
PAYMENT,6,4,66.44999695,379.7099915,Late delivery,1,62,Cameras ,Caguas,Puerto Rico,Jamalia,13208,Benton,77339,Home Office,PR,1777 High Alley ,725,10,Technology,18.27927208,-66.03705597,Europe,Caen,Francia,13208,10/13/2017 18:53,69655.0,1349.0,72.33000183,0.159999996,172970.0,452.0400085,0.180000007,1.0,452.0400085,379.7099915,66.44999695,Western Europe,Normandía,PENDING_PAYMENT,1349.0,62.0,Web Camera,452.0400085,10/19/2017 18:53,Standard Class,1,1,0,1,0,0,18.3,-66.0,Puerto Rico,0.5875257409786871,Medium,0.5875257409786871,0.4874795469539309,1,6,1,3,1,High,2017-10-13 18:53:00
DEBIT,6,4,11.0,22.0,Late delivery,1,7,Hockey,San Diego,EE. UU.,Mary,415,Allen,106843,Corporate,CA,3983 Golden By-pass,92113,2,Fitness,32.71987534,-117.1397247,Pacific Asia,Kahramanmara?,Turquía,415,10/29/2016 11:09,45725.0,135.0,0.0,0.0,114287.0,22.0,0.5,1.0,22.0,22.0,11.0,West Asia,Kahramanmara?,ON_HOLD,135.0,7.0,Nike Dri-FIT Crew Sock 6 Pack,22.0,11/4/2016 11:09,Standard Class,1,1,0,0,0,0,32.7,-117.1,EE. UU.,0.5548633799625945,Medium,0.5548633799625945,0.35175171341361916,0,3,1,3,1,High,2016-10-29 11:09:00
DEBIT,5,2,33.11999893,118.2900009,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,John,1596,Hammond,30586,Consumer,PR,7094 Misty Wynd,725,4,Apparel,18.25463486,-66.37058258,Europe,Castelldefels,España,1596,6/2/2015 10:38,10444.0,403.0,11.69999981,0.090000004,26147.0,129.9900055,0.280000001,1.0,129.9900055,118.2900009,33.11999893,Southern Europe,Cataluña,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,6/7/2015 10:38,Second Class,1,1,0,0,0,0,18.3,-66.4,Puerto Rico,0.6744692157317187,High,0.6744692157317187,0.4874795469539309,1,2,1,2,2,Medium,2015-06-02 10:38:00
DEBIT,4,2,-13.57999992,94.98999786,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,Mary,3784,Sharp,83299,Consumer,PR,9221 Cotton Butterfly Terrace,725,3,Footwear,18.23220825,-66.37062836,Europe,Birmingham,Reino Unido,3784,8/17/2015 18:35,15673.0,191.0,5.0,0.050000001,39186.0,99.98999786,-0.140000001,1.0,99.98999786,94.98999786,-13.57999992,Northern Europe,Inglaterra,COMPLETE,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.98999786,8/21/2015 18:35,Second Class,0,1,1,0,0,0,18.2,-66.4,Puerto Rico,0.6455196015294302,High,0.6455196015294302,0.4874795469539309,1,2,1,2,2,Medium,2015-08-17 18:35:00
TRANSFER,4,4,126.6399994,275.3099976,Shipping on time,0,73,Sporting Goods,Powder Springs,EE. UU.,Lilah,16671,Bond,67422,Corporate,GA,9699 Honey Rise,30127,2,Fitness,33.86013031,-84.68437958,Pacific Asia,Goyang,Corea del Sur,16671,12/3/2017 8:08,73118.0,1360.0,52.43999863,0.159999996,176433.0,327.75,0.460000008,1.0,327.75,275.3099976,126.6399994,Eastern Asia,Gyeonggi,PENDING,1360.0,73.0,Smart watch ,327.75,12/7/2017 8:08,Standard Class,0,0,0,1,0,0,33.9,-84.7,EE. UU.,0.24842940468434002,Low,0.24842940468434002,0.35175171341361916,0,5,3,3,0,Low,2017-12-03 08:08:00
DEBIT,5,4,-64.34999847,128.6900024,Late delivery,1,18,Men's Footwear,Lewisville,EE. UU.,Harold,1561,Johnson,29126,Corporate,TX,3403 Jagged Run,75067,4,Apparel,32.98721314,-96.98584747,Pacific Asia,Depok,Indonesia,1561,12/27/2015 5:48,24679.0,403.0,1.299999952,0.01,61808.0,129.9900055,-0.5,1.0,129.9900055,128.6900024,-64.34999847,Southeast Asia,Java Occidental,ON_HOLD,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,1/1/2016 5:48,Standard Class,1,1,1,0,0,0,33.0,-97.0,EE. UU.,0.5357268911614678,Low,0.5357268911614678,0.35175171341361916,0,3,1,3,0,Low,2015-12-27 05:48:00
PAYMENT,4,4,62.25,248.9900055,Shipping on time,0,38,Kids' Golf Clubs,Caguas,Puerto Rico,Kathryn,11846,Smith,35592,Home Office,PR,5356 Dusty Elk Boulevard,725,6,Outdoors,18.22829056,-66.37056732,Europe,Bourgoin-Jallieu,Francia,11846,9/21/2017 1:24,68098.0,845.0,51.0,0.170000002,170254.0,299.9899902,0.25,1.0,299.9899902,248.9900055,62.25,Western Europe,Auvernia-Ródano-Alpes,PENDING_PAYMENT,845.0,38.0,Garmin Approach S4 Golf GPS Watch,299.9899902,9/25/2017 1:24,Standard Class,0,0,0,1,0,0,18.2,-66.4,Puerto Rico,0.25906071979757533,Low,0.25906071979757533,0.4874795469539309,1,6,3,3,0,Low,2017-09-21 01:24:00
DEBIT,3,2,48.0,99.98999786,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,Grace,7761,Smith,157607,Consumer,PR,8609 Grand Harbour,725,3,Footwear,18.22191048,-66.37058258,LATAM,Tipitapa,Nicaragua,7761,1/12/2015 7:52,777.0,191.0,0.0,0.0,1914.0,99.98999786,0.479999989,1.0,99.98999786,99.98999786,48.0,Central America,Managua,ON_HOLD,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.98999786,1/15/2015 7:52,Second Class,0,1,0,0,0,0,18.2,-66.4,Puerto Rico,0.5982676384023026,Medium,0.5982676384023026,0.4874795469539309,1,3,1,2,1,High,2015-01-12 07:52:00
DEBIT,6,4,15.72999954,118.2900009,Late delivery,1,18,Men's Footwear,Fremont,EE. UU.,Steven,3275,Williams,43310,Corporate,CA,7383 Broad Parkway,94539,4,Apparel,37.49027634,-121.9271088,Pacific Asia,Bangkok,Tailandia,3275,11/27/2015 23:42,22675.0,403.0,11.69999981,0.090000004,56743.0,129.9900055,0.129999995,1.0,129.9900055,118.2900009,15.72999954,Southeast Asia,Bangkok,ON_HOLD,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,12/3/2015 23:42,Standard Class,1,1,0,0,0,0,37.5,-121.9,EE. UU.,0.5609025475124263,Medium,0.5609025475124263,0.35175171341361916,0,3,1,3,1,Medium,2015-11-27 23:42:00
DEBIT,6,2,68.63999939,263.980011,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,Mary,11534,Kim,98631,Consumer,PR,7902 Blue Mountain,725,7,Fan Shop,18.26375771,-66.37055206,LATAM,São Paulo,Brasil,11534,6/4/2017 20:18,60685.0,957.0,36.0,0.119999997,151890.0,299.980011,0.25999999,1.0,299.980011,263.980011,68.63999939,South America,São Paulo,COMPLETE,957.0,43.0,Diamondback Women's Serene Classic Comfort Bi,299.980011,6/10/2017 20:18,Second Class,1,1,0,1,0,0,18.3,-66.4,Puerto Rico,0.715764754627878,High,0.715764754627878,0.4874795469539309,1,2,1,2,2,Low,2017-06-04 20:18:00
PAYMENT,5,2,-33.83000183,179.9600067,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,Mary,1568,Larson,210,Home Office,PR,9494 Bright Stead,725,5,Golf,18.22501564,-66.37062073,Europe,La Rochelle,Francia,1568,9/19/2017 7:43,67979.0,627.0,20.0,0.100000001,169947.0,39.99000168,-0.189999998,5.0,199.9499969,179.9600067,-33.83000183,Western Europe,Aquitania-Lemosín-Poitou-Charentes,PENDING_PAYMENT,627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,9/24/2017 7:43,Second Class,1,1,1,0,0,0,18.2,-66.4,Puerto Rico,0.6912862961799452,High,0.6912862961799452,0.4874795469539309,1,6,1,2,2,Low,2017-09-19 07:43:00
DEBIT,4,2,8.729999542,24.23999977,Late delivery,1,40,Accessories,Caguas,Puerto Rico,Mary,9,Perez,164673,Consumer,PR,3616 Quaking Street,725,6,Outdoors,18.02528,-66.61306763,Europe,Franconville,Francia,9,7/7/2015 5:52,12828.0,906.0,0.75,0.029999999,32074.0,24.98999977,0.360000014,1.0,24.98999977,24.23999977,8.729999542,Western Europe,Isla de Francia,COMPLETE,906.0,40.0,Team Golf Tennessee Volunteers Putter Grip,24.98999977,7/11/2015 5:52,Second Class,0,1,0,0,0,0,18.0,-66.6,Puerto Rico,0.6390425476273679,High,0.6390425476273679,0.4874795469539309,1,2,1,2,2,High,2015-07-07 05:52:00
DEBIT,2,4,103.9899979,399.9599915,Advance shipping,0,9,Cardio Equipment,Temecula,EE. UU.,Donald,9124,Wheeler,71053,Consumer,CA,5292 Emerald Nectar Manor,92592,3,Footwear,33.50244904,-117.1325531,LATAM,Vassouras,Brasil,9124,5/28/2015 20:59,10131.0,191.0,99.98999786,0.200000003,25309.0,99.98999786,0.25999999,5.0,499.9500122,399.9599915,103.9899979,South America,Río de Janeiro,COMPLETE,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.98999786,5/30/2015 20:59,Standard Class,0,0,0,1,0,0,33.5,-117.1,EE. UU.,0.2137709896940736,Low,0.2137709896940736,0.35175171341361916,0,2,0,3,0,Low,2015-05-28 20:59:00
DEBIT,3,4,2.470000029,123.4899979,Advance shipping,0,18,Men's Footwear,Columbia,EE. UU.,Jack,7016,Sloan,144613,Corporate,MO,2292 Noble Bluff Gate,65203,4,Apparel,38.93703461,-92.46649933,Pacific Asia,Bandung,Indonesia,7016,3/12/2016 9:54,29897.0,403.0,6.5,0.050000001,74803.0,129.9900055,0.02,1.0,129.9900055,123.4899979,2.470000029,Southeast Asia,Java Occidental,ON_HOLD,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,3/15/2016 9:54,Standard Class,0,0,1,0,0,0,38.9,-92.5,EE. UU.,0.21020749539870517,Low,0.21020749539870517,0.35175171341361916,0,3,0,3,0,Low,2016-03-12 09:54:00
DEBIT,4,4,14.78999996,118.2900009,Shipping on time,0,18,Men's Footwear,Madison,EE. UU.,Brandon,11979,Smith,69873,Corporate,WI,3815 Tawny Swale,53704,4,Apparel,43.09559631,-89.35118866,Pacific Asia,Yakarta,Indonesia,11979,11/16/2015 4:59,21868.0,403.0,11.69999981,0.090000004,54683.0,129.9900055,0.129999995,1.0,129.9900055,118.2900009,14.78999996,Southeast Asia,Yakarta,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,11/20/2015 4:59,Standard Class,0,0,0,0,0,0,43.1,-89.4,EE. UU.,0.2444034483745229,Low,0.2444034483745229,0.35175171341361916,0,2,3,3,0,Low,2015-11-16 04:59:00
PAYMENT,5,2,-26.69000053,163.7700043,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Mary,5007,Smith,101707,Home Office,PR,2264 Thunder Abbey,725,4,Apparel,18.24984551,-66.37050629,LATAM,Cabimas,Venezuela,5007,4/25/2015 1:14,7814.0,365.0,16.20000076,0.090000004,19542.0,59.99000168,-0.159999996,3.0,179.9700012,163.7700043,-26.69000053,South America,Zulia,PENDING_PAYMENT,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99000168,4/30/2015 1:14,Second Class,1,1,1,0,0,0,18.2,-66.4,Puerto Rico,0.6877782023876892,High,0.6877782023876892,0.4874795469539309,1,6,1,2,2,Low,2015-04-25 01:14:00
DEBIT,6,4,74.13999939,285.1400146,Late delivery,1,73,Sporting Goods,Caguas,Puerto Rico,Eliana,19378,Santos,130244,Consumer,PR,1142 Round Via,725,2,Fitness,18.25708389,-66.03704834,Pacific Asia,Bangkok,Tailandia,19378,1/11/2018 20:31,75825.0,1360.0,42.61000061,0.129999995,179140.0,327.75,0.25999999,1.0,327.75,285.1400146,74.13999939,Southeast Asia,Bangkok,COMPLETE,1360.0,73.0,Smart watch ,327.75,1/17/2018 20:31,Standard Class,1,1,0,1,0,0,18.3,-66.0,Puerto Rico,0.5686725421861188,Medium,0.5686725421861188,0.4874795469539309,1,2,1,3,1,High,2018-01-11 20:31:00
PAYMENT,5,4,124.0699997,263.980011,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,Jessica,4675,Smith,86501,Home Office,PR,9792 Cozy Corners,725,7,Fan Shop,18.23113632,-66.37056732,LATAM,Cuscatancingo,El Salvador,4675,1/12/2015 15:34,799.0,957.0,36.0,0.119999997,1978.0,299.980011,0.469999999,1.0,299.980011,263.980011,124.0699997,Central America,San Salvador,PENDING_PAYMENT,957.0,43.0,Diamondback Women's Serene Classic Comfort Bi,299.980011,1/17/2015 15:34,Standard Class,1,1,0,1,0,0,18.2,-66.4,Puerto Rico,0.522550287134695,Low,0.522550287134695,0.4874795469539309,1,6,1,3,0,Low,2015-01-12 15:34:00
TRANSFER,4,4,106.2399979,424.9599915,Shipping on time,0,9,Cardio Equipment,Caguas,Puerto Rico,Brenda,2095,Bailey,141445,Consumer,PR,9226 Emerald Pony Farm,725,3,Footwear,18.25730705,-66.37060547,Pacific Asia,Surabaya,Indonesia,2095,12/8/2015 6:00,23378.0,191.0,74.98999786,0.150000006,58501.0,99.98999786,0.25,5.0,499.9500122,424.9599915,106.2399979,Southeast Asia,Java Oriental,PROCESSING,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.98999786,12/12/2015 6:00,Standard Class,0,0,0,1,0,0,18.3,-66.4,Puerto Rico,0.26533068149494965,Low,0.26533068149494965,0.4874795469539309,1,7,3,3,0,Medium,2015-12-08 06:00:00
DEBIT,3,2,39.15999985,107.8899994,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Mary,11367,Smith,103899,Consumer,PR,8667 Iron Arbor,725,4,Apparel,18.29887199,-66.37063599,Pacific Asia,Katoomba,Australia,11367,1/30/2016 0:08,26992.0,403.0,22.10000038,0.170000002,67609.0,129.9900055,0.360000014,1.0,129.9900055,107.8899994,39.15999985,Oceania,Nueva Gales del Sur,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,2/2/2016 0:08,Second Class,0,1,0,0,0,0,18.3,-66.4,Puerto Rico,0.6128434861349351,Medium,0.6128434861349351,0.4874795469539309,1,2,1,2,1,High,2016-01-30 00:08:00
TRANSFER,3,4,75.59999847,189.0,Shipping canceled,0,24,Women's Apparel,New York,EE. UU.,Aaron,11065,Smith,135080,Consumer,NY,5493 Burning Horse Heath,10031,5,Golf,40.82476044,-73.94992065,Europe,Utrecht,Países Bajos,11065,10/14/2015 17:07,19642.0,502.0,11.0,0.059999999,49112.0,50.0,0.400000006,4.0,200.0,189.0,75.59999847,Western Europe,Utrecht,CANCELED,502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0,10/17/2015 17:07,Standard Class,0,0,0,0,0,1,40.8,-73.9,EE. UU.,0.19981816010835457,Low,0.19981816010835457,0.35175171341361916,0,0,2,3,0,Medium,2015-10-14 17:07:00
